inputFile,outputFile,inputType,node,minTime,maxTime,rows,keptColumnCount,keptMetricCount
ggpu121_2025-02-10_gpu-error.csv.bz2,ggpu121_2025-02-10_gpu-error_tidy.csv.bz2,label-heavy-prometheus,node_2b08d249c0ba,2025-02-03 00:00:00,2025-02-12 23:50:00,630168,737,260
ggpu129_2026-01-09_gpu-lost.csv.bz2,ggpu129_2026-01-09_gpu-lost_tidy.csv.bz2,label-heavy-prometheus,node_b1b91a387252,2026-01-02 00:00:00,2026-01-11 23:50:00,806668,743,259
ggpu129_2026-01-13_gpu-lost.csv.bz2,ggpu129_2026-01-13_gpu-lost_tidy.csv.bz2,label-heavy-prometheus,node_b1b91a387252,2026-01-06 00:00:00,2026-01-15 23:50:00,804655,751,259
ggpu129_2026-01-19_gpu-lost.csv.bz2,ggpu129_2026-01-19_gpu-lost_tidy.csv.bz2,label-heavy-prometheus,node_b1b91a387252,2026-01-12 00:00:00,2026-01-21 23:50:00,899738,749,259
ggpu139_2025-03-21_gpus-dropped-off-bus-maybe.csv.bz2,ggpu139_2025-03-21_gpus-dropped-off-bus-maybe_tidy.csv.bz2,label-heavy-prometheus,node_df3724dfcace,2025-03-14 00:00:00,2025-03-23 23:50:00,1030247,749,260
ggpu142_2025-02-17_gpus-fallen-off-bus.csv.bz2,ggpu142_2025-02-17_gpus-fallen-off-bus_tidy.csv.bz2,label-heavy-prometheus,node_6a5ebc855306,2025-02-10 00:00:00,2025-02-19 23:50:00,877742,733,260
ggpu142_2025-03-15_unknown-error-possibly-nongpu.csv.bz2,ggpu142_2025-03-15_unknown-error-possibly-nongpu_tidy.csv.bz2,label-heavy-prometheus,node_6a5ebc855306,2025-03-08 00:00:00,2025-03-17 23:50:00,1004418,744,260
ggpu142_2025-03-19_gpu-problem.csv.bz2,ggpu142_2025-03-19_gpu-problem_tidy.csv.bz2,label-heavy-prometheus,node_6a5ebc855306,2025-03-12 00:00:00,2025-03-21 23:50:00,988745,755,260
ggpu142_2025-03-21_gpus-fell-off-bus.csv.bz2,ggpu142_2025-03-21_gpus-fell-off-bus_tidy.csv.bz2,label-heavy-prometheus,node_6a5ebc855306,2025-03-14 00:00:00,2025-03-23 23:50:00,988904,755,260
ggpu142_2025-07-03_gpu-problem.csv.bz2,ggpu142_2025-07-03_gpu-problem_tidy.csv.bz2,label-heavy-prometheus,node_6a5ebc855306,2025-06-26 00:00:00,2025-07-05 23:50:00,1041359,745,260
ggpu142_2025-09-12_gpus-dropped-off-bus.csv.bz2,ggpu142_2025-09-12_gpus-dropped-off-bus_tidy.csv.bz2,label-heavy-prometheus,node_6a5ebc855306,2025-09-05 00:00:00,2025-09-14 23:50:00,1031579,746,260
ggpu143_2025-03-21_gpu-problem.csv.bz2,ggpu143_2025-03-21_gpu-problem_tidy.csv.bz2,label-heavy-prometheus,node_62a6cb9d8856,2025-03-14 00:00:00,2025-03-23 23:50:00,1031067,737,260
ggpu144_2025-03-21_gpu-problem.csv.bz2,ggpu144_2025-03-21_gpu-problem_tidy.csv.bz2,label-heavy-prometheus,node_d4119f476626,2025-03-14 00:00:00,2025-03-23 23:50:00,1028828,743,260
ggpu149_2025-03-21_gpus-dropped-off-bus.csv.bz2,ggpu149_2025-03-21_gpus-dropped-off-bus_tidy.csv.bz2,label-heavy-prometheus,node_039ab2df8a6a,2025-03-14 00:00:00,2025-03-23 23:50:00,786994,735,260
ggpu149_2025-06-12_gpus-dropped-off-bus.csv.bz2,ggpu149_2025-06-12_gpus-dropped-off-bus_tidy.csv.bz2,label-heavy-prometheus,node_039ab2df8a6a,2025-06-05 00:00:00,2025-06-14 09:50:00,986122,756,260
ggpu149_2026-01-19_gpus-dropped-off-bus.csv.bz2,ggpu149_2026-01-19_gpus-dropped-off-bus_tidy.csv.bz2,label-heavy-prometheus,node_039ab2df8a6a,2026-01-12 00:00:00,2026-01-21 23:50:00,896826,746,259
nodes_total_gpus_when_good_2025-Q1.csv,nodes_total_gpus_when_good_2025-Q1_tidy.csv.bz2,node-wide-totals,,2025-01-01 00:00:00,2025-03-31 23:45:00,91234,23,1
nodes_total_gpus_when_good_2025-Q2.csv,nodes_total_gpus_when_good_2025-Q2_tidy.csv.bz2,node-wide-totals,,2025-04-01 00:00:00,2025-06-30 23:45:00,77454,23,1
nodes_total_gpus_when_good_2025-Q3.csv,nodes_total_gpus_when_good_2025-Q3_tidy.csv.bz2,node-wide-totals,,2025-07-01 00:00:00,2025-09-30 23:45:00,96044,23,1
nodes_total_gpus_when_good_2025-Q4.csv,nodes_total_gpus_when_good_2025-Q4_tidy.csv.bz2,node-wide-totals,,2025-10-01 00:00:00,2025-12-31 23:45:00,65778,22,1
nodes_total_gpus_when_good_2026-Q1.csv,nodes_total_gpus_when_good_2026-Q1_tidy.csv.bz2,node-wide-totals,,2026-01-01 00:00:00,2026-02-09 15:30:00,25055,21,1
